battery_power,brand,processor_speed,dual_sim,fc,four_g,int_memory,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,os,price
2996,Itel,2.4,0,3,1,15,243,4,32,5952,22,0,0,0,Android,1395.4
4095,Itel,2.7,1,6,0,162,142,1,16,5340,15,1,0,0,Android,278.86
3060,Apple,2.6,1,12,0,35,144,3,29,6587,13,1,1,1,iOS,879.25
3210,Apple,1.6,1,15,0,211,193,3,25,6180,2,1,0,1,iOS,1304.34
3193,Apple,1.6,1,6,0,38,105,3,8,3677,6,1,0,1,iOS,370.89
1200,Apple,2.7,0,4,1,104,232,7,30,1706,15,1,0,1,iOS,1335.28
4631,Apple,1,0,17,1,104,138,5,37,7892,19,0,1,0,iOS,500.87
2201,Apple,1.6,0,0,1,170,101,2,36,7198,6,0,1,1,iOS,718.74
2116,Apple,0.9,0,15,1,170,183,3,5,4391,21,0,1,1,iOS,1463.84
4844,Apple,2.1,0,11,1,75,184,7,31,4855,6,1,1,1,iOS,1386.13
3017,Apple,2.1,1,8,1,197,174,3,40,6443,11,0,0,1,iOS,1324.74
2706,Apple,1.3,1,7,1,167,186,5,4,1427,9,1,0,0,iOS,198.08
1114,Apple,3,1,19,1,105,237,7,23,5980,23,1,0,0,iOS,210.12
2383,Apple,1.5,1,4,0,60,213,2,8,3871,20,1,1,0,iOS,767.41
3197,Apple,0.7,1,11,1,46,119,2,49,4926,6,0,0,0,iOS,296.67
4767,Apple,1.8,0,2,1,234,186,5,44,6737,17,0,0,0,iOS,380.26
2728,Apple,1,0,4,1,138,148,6,45,3437,6,0,0,0,iOS,662.73
4395,Apple,1.1,1,1,0,90,203,1,17,7943,5,1,1,1,iOS,1347.55
3108,Apple,2.4,1,0,1,73,110,4,15,4473,20,1,0,1,iOS,1438.94
2091,Apple,1.3,0,8,1,27,248,1,9,528,22,0,1,1,iOS,807.31
4751,Apple,1.7,0,13,1,147,189,4,6,7922,23,1,0,0,iOS,308.47
644,Apple,0.6,1,1,1,156,199,4,2,8038,2,1,0,1,iOS,1281.35
4512,Apple,2,1,3,0,103,187,2,10,7893,16,0,0,1,iOS,1301
2007,Apple,1.6,0,11,1,136,132,2,39,6896,5,0,1,0,iOS,1061.55
4859,Apple,0.9,0,13,1,232,110,2,21,7635,5,0,0,0,iOS,581.07
729,Apple,0.7,1,7,0,120,137,5,40,1248,15,0,1,0,iOS,160.36
4932,Apple,0.9,1,2,1,99,138,6,38,4586,9,0,1,0,iOS,124.9
4135,Apple,2.1,1,12,1,231,123,7,45,4034,11,0,0,1,iOS,239.35
4224,Apple,0.9,0,15,1,193,201,5,45,5673,14,1,0,1,iOS,1101.7
2056,Apple,2.9,1,17,0,197,111,5,34,5711,15,1,0,1,iOS,182.11
2783,Apple,0.9,1,9,0,218,135,4,24,4611,5,0,1,1,iOS,1413.41
3131,Apple,1.4,0,0,0,6,196,5,36,4146,13,1,0,0,iOS,356.53
2550,Apple,0.7,0,11,1,220,114,2,26,976,4,1,1,1,iOS,701.13
1820,Apple,1.5,1,4,1,99,144,3,45,6978,2,0,0,1,iOS,118.41
1856,Apple,2.4,0,15,1,120,237,1,29,3480,3,0,1,0,iOS,344.04
2085,Apple,0.9,0,16,1,250,246,7,6,7087,20,1,1,0,iOS,645.47
1330,Apple,0.7,0,0,0,88,227,5,49,1089,13,1,1,0,iOS,1241.97
2725,Apple,1.7,0,19,0,162,189,6,39,2350,9,1,0,0,iOS,155.61
1409,Apple,1.3,0,16,0,209,169,1,39,6454,13,0,1,0,iOS,1400.48
2458,Apple,0.6,1,16,0,134,167,5,37,4867,6,1,1,1,iOS,1428.39
1803,Apple,1.6,0,18,1,131,145,1,19,7374,4,0,0,1,iOS,788.68
1178,Apple,2.2,1,11,0,245,244,4,22,6874,2,1,0,1,iOS,826.62
3009,Apple,1.9,1,9,0,72,131,2,23,1640,23,0,0,0,iOS,769.5
1476,Apple,2.6,1,8,0,158,177,4,15,1793,12,0,0,0,iOS,1470.57
3579,Apple,0.8,0,7,1,4,149,1,33,634,13,0,0,1,iOS,1228.21
1660,Apple,2.9,0,10,1,159,124,5,24,4405,10,1,0,1,iOS,259.95
4547,Apple,2.8,0,11,1,92,208,7,47,6820,4,0,0,0,iOS,774.56
2749,Apple,0.5,1,0,0,25,182,2,32,7064,16,1,0,0,iOS,304.24
3937,Apple,2.1,1,16,1,191,219,1,21,8182,10,0,1,0,iOS,1096.21
4770,Apple,1.1,1,18,0,146,121,5,14,7429,18,1,0,0,iOS,1158.22
1142,Apple,1.5,1,16,1,92,106,7,38,4620,4,1,0,0,iOS,1348.1
978,Apple,1,0,19,1,235,127,4,6,5530,18,0,1,0,iOS,1237.77
3019,Apple,0.5,1,15,1,113,214,2,24,8188,10,0,0,0,iOS,1297.4
1367,Itel,2,0,3,0,53,141,5,27,2766,13,0,1,1,Android,1202.36
1389,Itel,0.5,0,13,0,41,191,6,14,3381,5,0,0,0,Android,317.87
925,Itel,1,0,0,0,53,222,5,15,1519,6,1,1,0,Android,129.26
4681,Itel,1.1,1,17,0,192,220,6,34,4866,7,1,1,0,Android,269.89
2630,Itel,1.8,1,18,1,106,200,1,41,3463,18,0,0,1,Android,574.83
743,Itel,1.1,1,16,0,191,192,7,25,7066,14,1,1,1,Android,1073.85
2610,Itel,0.8,0,18,0,82,150,6,37,3865,20,1,0,1,Android,322.06
2064,Itel,2.6,0,2,0,13,118,7,3,3888,13,0,0,1,Android,1280.83
3105,Itel,0.9,1,13,1,54,249,5,38,7598,18,0,1,0,Android,236.37
2303,Itel,0.8,0,18,1,226,135,4,31,2291,11,0,0,1,Android,263.14
3977,Itel,2.9,1,1,1,117,201,2,9,4885,12,1,0,1,Android,1000.71
1168,Itel,0.6,0,9,1,246,248,4,35,2243,19,1,1,1,Android,277.9
2684,Samsung,1.1,0,2,0,133,120,5,7,6843,7,0,1,1,Android,313.28
903,Samsung,2.7,1,10,1,80,224,2,6,592,2,1,1,1,Android,909.39
1553,Samsung,1.3,0,10,0,163,100,2,24,1884,22,1,0,0,Android,1200.15
1033,Samsung,1,1,7,0,101,182,7,11,3123,11,1,1,1,Android,952.59
3620,Samsung,2.3,0,8,0,253,161,6,41,1555,6,0,1,1,Android,1434.51
2758,Samsung,1.7,1,7,0,9,127,3,39,5652,21,0,0,1,Android,239.38
2848,Samsung,2.1,1,12,1,192,116,4,15,4208,4,0,1,1,Android,286.54
536,Samsung,2.8,1,18,1,125,103,6,48,5938,15,0,0,1,Android,812.81
1536,Samsung,2.9,0,15,1,102,119,5,16,4180,19,1,0,1,Android,1221.97
4761,Samsung,2.5,1,7,0,223,168,6,30,3210,19,0,1,0,Android,929.71
3543,Samsung,1.7,1,1,1,99,112,4,2,4106,22,0,1,1,Android,1426.89
1487,Samsung,1.8,0,14,1,169,121,2,24,3260,19,0,1,0,Android,1325.08
3041,Samsung,3,0,4,1,126,227,4,18,5741,20,1,1,0,Android,1109.79
2537,Samsung,2.8,1,10,0,144,142,7,14,4944,9,1,0,1,Android,156.5
1674,Samsung,0.7,1,19,1,94,197,6,2,1649,13,0,0,1,Android,1028.79
1708,Samsung,1.6,0,3,0,101,222,5,5,7795,15,1,0,0,Android,590.73
1647,Samsung,1.6,0,11,1,22,248,6,39,819,18,1,1,1,Android,763.96
1277,Samsung,0.7,1,2,0,116,174,4,48,7746,20,1,1,1,Android,310.22
2548,Huawei,2.7,1,13,0,252,204,7,43,4851,5,1,1,1,iOS,1182.03
3504,Huawei,1.3,1,7,0,21,202,3,21,5156,4,0,0,0,iOS,1159.63
1380,Huawei,0.8,1,13,0,231,114,7,24,6269,2,1,0,1,iOS,776.97
1370,Huawei,0.8,1,1,0,116,235,2,10,6677,18,1,1,1,iOS,1315.2
4358,Huawei,2.3,1,17,0,157,208,1,20,6143,15,1,0,1,iOS,1119
1458,Huawei,1.4,1,5,1,142,221,2,19,6348,16,0,0,1,iOS,578.69
4585,Huawei,1.1,0,13,1,221,131,6,35,986,8,0,0,1,iOS,698.06
1546,Huawei,2,0,0,1,93,107,2,7,5896,3,0,1,0,iOS,1081.19
3656,Huawei,0.9,1,19,1,102,138,1,36,1497,19,1,0,1,iOS,137.08
2135,Huawei,2.4,0,15,1,85,117,3,21,709,3,0,0,0,iOS,619.58
2052,Huawei,1.1,0,14,1,165,246,2,3,977,6,0,1,0,iOS,190.43
1913,Huawei,2.1,1,8,1,82,139,7,33,1010,16,0,0,0,iOS,1019.78
3564,Huawei,2.5,1,18,0,100,239,1,35,2870,22,1,1,1,iOS,1174.88
3604,Huawei,0.7,1,9,1,222,195,5,12,6346,13,1,1,1,iOS,641.94
802,Huawei,1.4,0,5,0,184,197,2,44,1618,7,0,0,0,iOS,892.81
1902,Huawei,1.1,0,2,0,59,131,3,22,2905,5,0,0,0,iOS,1075.13
2560,Huawei,2,1,14,0,68,149,5,40,2403,16,0,0,1,iOS,1182.04
2575,Huawei,1.8,0,6,1,3,168,4,3,3248,15,1,1,0,iOS,513.79
2673,Huawei,1.3,1,13,0,6,133,6,40,3452,13,1,0,1,iOS,396.7
4814,Huawei,1.8,0,9,0,197,117,2,2,3114,12,0,0,0,iOS,1282.94
3404,Samsung,1.6,0,4,0,141,143,7,17,6218,17,0,0,1,Android,195.25
1920,Samsung,0.5,0,16,1,233,157,4,21,2448,15,0,1,0,Android,1412.07
1276,Samsung,1.8,1,19,1,148,124,4,33,7524,23,1,1,0,Android,1320.24
2444,Samsung,2.6,1,14,0,176,104,5,41,6950,14,0,1,1,Android,607.52
3083,Samsung,2.9,1,16,0,91,163,7,11,1202,14,0,0,1,Android,407.88
3621,Samsung,1.8,0,12,0,69,102,3,10,3926,10,1,1,1,Android,736.75
4666,Samsung,2.5,0,5,1,236,208,1,38,5027,9,1,1,1,Android,661.81
3296,Samsung,2.9,1,5,0,62,236,1,28,4435,17,1,1,1,Android,435.83
1218,Samsung,1.6,0,0,0,178,133,3,48,8153,8,1,1,1,Android,566.37
1031,Samsung,1.1,1,7,1,119,192,4,7,4763,16,1,1,1,Android,224.38
595,Samsung,0.6,1,16,0,44,110,2,27,6270,4,0,1,1,Android,919.09
2445,Samsung,1,1,3,1,170,211,6,34,2321,20,1,0,1,Android,120.18
3931,Samsung,0.8,1,11,1,18,196,3,28,5158,15,0,0,0,Android,331.16
4151,Tecno,2.1,1,8,1,50,216,1,16,728,13,1,1,1,Android,160.66
3562,Tecno,0.8,1,16,0,88,237,3,45,4744,9,0,1,0,Android,1129.84
2322,Tecno,0.5,1,10,1,200,186,2,28,3517,21,0,1,0,Android,1223.43
3036,Tecno,2,1,10,1,72,121,6,26,7100,2,1,0,1,Android,750.26
4936,Tecno,1.4,1,2,1,224,142,1,11,2523,17,1,1,0,Android,1118.31
3762,Tecno,0.5,0,14,1,239,239,5,9,6429,10,1,1,1,Android,864.37
3987,Tecno,0.7,1,8,0,70,116,4,39,3433,9,0,1,1,Android,845.8
4688,Tecno,2.6,1,6,1,191,157,3,43,4436,15,1,0,1,Android,115.83
3235,Tecno,2.4,0,7,0,156,235,6,43,1647,17,0,1,0,Android,201.48
2393,Tecno,1.6,1,11,0,16,146,5,41,2004,8,0,0,1,Android,568.46
3014,Tecno,0.9,0,15,1,143,139,5,9,6122,8,0,0,1,Android,589.69
3303,Tecno,3,1,15,1,140,121,5,6,6500,3,0,1,1,Android,1278.47
3388,Tecno,2.4,1,15,0,47,205,1,21,1028,15,1,0,0,Android,365.47
1855,Tecno,2.1,0,13,1,179,237,7,27,990,21,0,0,0,Android,692.72
4185,Tecno,1.1,0,14,1,45,193,7,22,7303,12,0,1,0,Android,1307.04
4958,Tecno,1,0,10,0,4,234,6,14,6654,13,0,1,0,Android,517.25
4296,OnePlus,2.4,0,13,0,18,185,7,46,4167,3,0,0,0,iOS,253.39
2142,OnePlus,0.9,1,5,1,8,202,7,21,652,13,0,0,0,iOS,1432.05
2052,OnePlus,1.6,0,15,0,80,109,2,14,2635,13,1,1,1,iOS,529.21
4321,OnePlus,1.7,1,14,0,175,201,5,45,2885,3,0,0,0,iOS,1417.26
3320,OnePlus,1.8,0,2,0,254,109,6,32,2699,22,0,0,0,iOS,470.4
4674,OnePlus,2.8,1,3,1,214,240,1,7,5105,22,1,1,0,iOS,793.48
2116,OnePlus,1.6,0,7,0,145,103,3,7,7250,19,0,0,0,iOS,978.34
1094,OnePlus,0.9,1,8,1,174,199,4,32,7615,19,1,1,0,iOS,644.33
4401,OnePlus,2.8,0,12,0,9,196,2,13,737,8,1,0,0,iOS,765.82
4005,OnePlus,2.2,1,14,0,19,141,5,22,2592,5,0,0,0,iOS,1037.87
3648,OnePlus,1.2,1,18,0,204,225,6,42,1911,22,0,1,0,iOS,1347.25
3265,OnePlus,2.7,0,19,0,84,139,1,34,5650,8,0,0,0,iOS,538.26
869,OnePlus,0.8,0,6,1,228,218,6,40,2712,17,0,1,1,iOS,718.71
1959,OnePlus,2.1,0,10,0,148,237,3,19,6761,6,1,1,1,iOS,795.99
3717,OnePlus,1.8,1,13,1,82,154,3,2,2639,5,1,1,0,iOS,506.44
1068,OnePlus,1.6,0,3,0,249,166,3,34,2563,18,1,1,1,iOS,457.44
4869,OnePlus,1.2,0,6,1,119,210,2,18,6627,17,0,1,1,iOS,397.13
4741,OnePlus,2,0,19,1,38,226,5,13,5258,7,1,1,1,iOS,155.12
937,OnePlus,1.2,0,8,1,203,201,6,31,2425,20,1,0,0,iOS,408.83
747,Itel,2.9,0,6,1,119,205,7,38,2665,2,0,1,1,Android,451.42
2990,Itel,3,1,14,1,250,220,6,46,2260,13,0,1,0,Android,696.08
1592,Itel,1.5,1,3,0,30,212,2,2,1445,15,0,0,0,Android,994.14
4639,Itel,2.6,0,7,1,113,117,5,20,6928,10,0,1,0,Android,639.16
4231,Itel,1.7,1,18,0,36,166,6,14,615,14,1,0,1,Android,1045.81
4206,Itel,0.6,0,18,0,146,162,6,9,2797,16,1,0,0,Android,223.27
3211,Itel,1.9,0,8,0,121,152,7,40,7663,4,1,0,1,Android,437.22
1947,Itel,0.6,1,7,0,164,184,7,16,3345,4,1,1,0,Android,1138.87
2288,Itel,0.6,0,2,1,115,138,2,18,7181,6,1,0,0,Android,137.97
2862,Itel,2.3,1,8,0,238,190,7,33,3510,20,1,0,0,Android,194.59
514,Itel,2.4,0,13,1,186,202,3,48,3684,14,0,1,0,Android,620.34
1716,Huawei,1.8,0,14,0,251,230,5,16,2531,18,1,1,0,iOS,1001.85
1403,Huawei,3,0,16,0,109,114,7,19,7777,20,0,1,0,iOS,153.61
4429,Huawei,1.7,1,17,0,133,121,2,29,1336,18,1,0,1,iOS,972.68
1883,Apple,1.3,0,0,0,133,225,7,8,6022,9,0,1,0,iOS,803.06
3436,Apple,0.8,0,0,1,39,174,1,12,634,3,0,1,1,iOS,273.5
1422,Apple,1.2,0,18,1,220,226,7,22,8086,9,0,0,0,iOS,667.27
3327,Apple,1.4,1,16,0,34,164,7,21,7150,14,0,1,1,iOS,893.54
4183,Apple,1.3,1,1,1,231,191,1,47,7541,20,1,1,0,iOS,1337.44
2487,Apple,0.6,0,18,0,75,136,1,35,1293,19,0,0,0,iOS,1166.83
2986,Apple,0.9,1,3,1,21,219,1,6,3650,22,0,1,0,iOS,1259.95
2872,Apple,0.8,0,15,0,140,145,3,11,4951,2,0,0,0,iOS,1162.63
1978,Apple,1.9,1,3,0,13,123,4,36,6146,8,0,0,0,iOS,174.06
4033,Apple,2.7,1,8,0,165,213,4,33,2285,13,1,1,0,iOS,629.54
679,Apple,2.2,0,4,1,172,107,4,41,4601,9,0,1,1,iOS,522.31
1002,Apple,2.2,0,7,0,215,166,7,30,3701,12,1,1,1,iOS,1429.22
1602,Apple,0.8,1,9,1,117,113,3,45,6079,22,0,0,0,iOS,889.19
1201,Apple,2.3,0,6,0,191,205,1,32,1195,20,0,1,0,iOS,1005.39
4931,Apple,1.2,0,15,1,174,118,6,5,1550,14,0,1,0,iOS,592.38
2680,Apple,2.6,0,15,1,246,113,3,12,3203,11,1,1,1,iOS,1002.47
2531,OnePlus,2.3,0,16,1,107,157,3,33,6742,9,1,1,1,iOS,574.58
3931,OnePlus,2.2,0,11,0,74,140,7,37,515,14,0,1,0,iOS,364.71
4280,OnePlus,2.3,0,19,0,31,233,7,41,1147,11,0,0,0,iOS,1317.55
2109,OnePlus,1.5,1,15,0,222,175,3,20,5428,6,1,0,1,iOS,373.32
3436,OnePlus,2.1,1,9,1,117,215,1,37,6061,10,1,1,1,iOS,1499.33
4514,OnePlus,2.2,0,14,1,182,212,4,9,7777,14,0,1,0,iOS,507.88
2113,OnePlus,0.5,1,2,1,212,187,7,11,5306,16,0,0,0,iOS,1098.35
1195,OnePlus,2,1,12,0,124,241,7,48,5228,12,0,1,0,iOS,538.47
4920,OnePlus,2.7,1,6,1,181,107,3,34,1599,20,1,1,1,iOS,285.62
4414,OnePlus,2.7,0,18,0,171,177,7,7,2187,16,0,1,0,iOS,1130.8
945,Itel,2.1,1,16,0,189,215,1,13,2221,14,0,1,0,Android,1325.54
2937,Itel,1.7,0,13,1,68,109,5,36,5072,9,0,0,1,Android,912.88
2850,Itel,1.6,0,4,0,140,181,1,20,3336,11,1,1,0,Android,746.36
2656,Itel,3,1,16,0,59,187,5,8,3483,14,0,1,1,Android,1330.58
3502,Itel,1.3,1,1,1,36,224,3,36,1189,21,1,1,0,Android,999.4
3177,Itel,1.3,1,14,0,74,133,6,28,7407,8,0,1,0,Android,1464.01
1611,Itel,2.2,0,4,0,201,133,4,22,6666,23,1,1,0,Android,703.09
1910,Itel,1.9,0,14,1,247,140,6,8,2175,7,0,0,0,Android,844.51
4091,Itel,2.2,1,9,0,152,148,7,38,4573,9,1,0,0,Android,1007.61
886,Itel,2.5,1,19,1,99,125,7,26,2109,11,1,1,0,Android,141.32
4817,Itel,0.9,1,9,0,42,100,3,35,6169,5,1,1,0,Android,1396.32
1482,Itel,2.5,1,13,1,8,183,2,42,3477,23,0,0,0,Android,264.03
2484,Itel,2.4,1,0,0,192,245,5,20,6999,14,1,1,1,Android,1077.54
610,Itel,1.2,1,18,1,149,221,7,4,637,20,0,1,1,Android,906.71
3572,Apple,2.1,1,4,1,53,205,7,47,4477,23,0,1,0,iOS,778.51
1496,Apple,2.4,0,4,1,140,165,3,35,2145,12,1,0,0,iOS,329.75
926,Apple,1.5,0,19,1,187,245,7,29,4668,5,0,0,0,iOS,1305.4
2430,Apple,2,1,3,0,190,228,3,31,916,15,1,0,1,iOS,1117.73
4865,Apple,0.5,0,16,0,116,191,4,40,1822,13,1,1,0,iOS,1080.94
846,Apple,1,0,2,0,92,178,3,28,2036,20,0,0,0,iOS,452.9
3103,Apple,1.2,1,16,1,153,103,4,16,1852,3,0,0,1,iOS,1217.39
698,Tecno,0.7,0,9,1,2,240,3,17,3346,5,0,1,0,Android,267.96
1971,Tecno,2.2,0,5,1,71,170,1,30,5280,3,0,0,0,Android,1247.33
4149,Tecno,1.7,0,14,1,95,184,1,37,4575,4,0,1,1,Android,461.98
1970,Huawei,2.2,1,2,1,140,187,2,3,7281,23,1,0,0,iOS,433.45
3867,Huawei,2.7,1,4,1,66,116,5,15,2447,22,1,0,0,iOS,337.03
3642,Huawei,0.6,0,11,0,229,129,3,13,1602,9,0,0,0,iOS,1445.26
4692,Huawei,0.9,0,7,0,238,127,7,5,3694,20,1,1,1,iOS,161.32
2743,Huawei,1.5,1,3,1,31,241,5,15,4761,16,1,0,1,iOS,573.98
3515,Huawei,2.8,1,12,1,41,104,4,24,1874,17,1,1,1,iOS,917.51
3434,Huawei,1.6,1,5,0,5,108,3,24,4126,7,0,1,0,iOS,233.87
1093,Huawei,1.5,0,16,1,129,126,2,41,3531,5,1,0,0,iOS,1163.83
710,Huawei,2.5,0,13,1,100,162,5,2,6376,10,0,1,0,iOS,413.82
4841,Huawei,2.7,0,10,0,204,163,3,49,6539,14,0,1,0,iOS,385.6
4030,OnePlus,2.5,1,7,0,43,104,6,46,5934,16,0,0,0,iOS,1083.79
1697,Samsung,2.9,0,16,0,40,136,3,9,6575,11,0,1,1,Android,1273.36
2246,Samsung,2.6,1,3,1,24,128,1,4,3770,13,1,0,0,Android,192.1
4738,Samsung,2.3,0,3,0,93,164,6,8,1434,19,0,0,1,Android,556.29
764,Samsung,0.9,1,19,1,250,152,5,33,3091,17,1,0,1,Android,650.96
2179,Samsung,1,0,8,0,250,167,1,37,5182,5,0,1,1,Android,1023.17
3728,Apple,1.5,1,5,1,83,195,7,40,3352,2,1,1,1,iOS,211.2
